title,total_sales,critic_score,popularity
.hack//G.U. Vol.2//Reminisce,0.23,6.2,Menos popular
.hack//G.U. Vol.3//Redemption,0.17,5.7,Menos popular
.hack//Infection Part 1,1.27,7.7,Moderadamente popular
.hack//Mutation Part 2,0.68,7.5,Moderadamente popular
.hack//Outbreak Part 3,0.46,7.1,Moderadamente popular
.hack//Quarantine Part 4: The Final Chapter,0.18,6.8,Moderadamente popular
007 Legends,0.13,4.2,Menos popular
007 Racing,0.53,6.1,Menos popular
007: Quantum of Solace,3.86,6.666666666666667,Moderadamente popular
007: The World is Not Enough,1.55,7.4,Moderadamente popular
007: The World is not Enough,0.92,6.4,Menos popular
007: Tomorrow Never Dies,3.21,6.2,Menos popular
100 Classic Books,0.67,4.0,Menos popular
18 Wheeler: American Pro Trucker,0.51,5.5,Menos popular
2002 FIFA World Cup,0.64,7.65,Moderadamente popular
2010 FIFA World Cup South Africa,2.9699999999999998,7.55,Moderadamente popular
2014 FIFA World Cup Brazil,1.1,7.6,Moderadamente popular
2Xtreme,1.4,8.3,Muy popular
300: March to Glory,0.41,4.9,Menos popular
3D Baseball,0.03,7.6,Menos popular
3D Lemmings,0.06,7.0,Menos popular
3Xtreme,0.9,2.9,Menos popular
40 Winks,0.31,5.5,Menos popular
4X4 EVO 2,0.14,5.1,Menos popular
50 Cent: Blood on the Sand,0.4,7.25,Moderadamente popular
50 Cent: Bulletproof,0.09,5.5,Menos popular
7 Wonders of the Ancient World,0.08,5.4,Menos popular
7th Dragon III Code: VFD,0.24,7.5,Moderadamente popular
"999: Nine Hours, Nine Persons, Nine Doors",0.37,7.9,Moderadamente popular
A Boy and His Blob,0.21,7.9,Moderadamente popular
A Bug's Life,3.42,4.85,Menos popular
A Collection of Activision Classic Games for the Atari 2600,1.37,3.8,Menos popular
A Collection of Intellivision Classic Games,0.31,4.3,Menos popular
A Game of Thrones: Genesis,0.03,4.9,Menos popular
A Sound of Thunder,0.0,6.8,Menos popular
A Way Out,0.72,7.8,Muy popular
A Witch's Tale,0.11,5.0,Menos popular
A-Train,0.08,6.0,Menos popular
A-Train HX,0.0,2.0,Menos popular
AC/DC LIVE: Rock Band Track Pack,0.23,6.7,Moderadamente popular
ARK: Survival Evolved,0.08,4.0,Menos popular
ATV Offroad Fury,2.41,8.4,Muy popular
ATV Offroad Fury 2,2.18,8.7,Muy popular
ATV Offroad Fury 3,1.2,7.5,Moderadamente popular
ATV Offroad Fury Pro,0.46,7.6,Moderadamente popular
ATV Offroad Fury: Blazin' Trails,0.57,5.9,Menos popular
ATV: Quad Power Racing,0.26,5.5,Menos popular
Academy of Champions: Soccer,0.12,7.1,Menos popular
Ace Attorney Investigations: Miles Edgeworth,0.7,7.7,Moderadamente popular
Ace Combat: Assault Horizon,1.23,7.25,Moderadamente popular
Ace Combat: Assault Horizon Legacy,0.25,7.0,Moderadamente popular
Ace Combat: Joint Assault,0.29,7.0,Moderadamente popular
Act of War: Direct Action,0.0,8.2,Menos popular
Act of War: High Treason,0.0,6.8,Menos popular
Action Bass,1.14,5.1,Menos popular
Activision Anthology,0.05,8.0,Menos popular
