title,total_sales,critic_score,popularity
.hack//G.U. Vol.2//Reminisce,-0.3327501547879548,-0.5576552808424988,Menos popular
.hack//G.U. Vol.3//Redemption,-0.35687259441196045,-0.9020385631094898,Menos popular
.hack//Infection Part 1,0.08537213202814391,0.47549456595847395,Moderadamente popular
.hack//Mutation Part 2,-0.15183185760791204,0.33774125305167746,Moderadamente popular
.hack//Outbreak Part 3,-0.24028080289593295,0.06223462723808447,Moderadamente popular
.hack//Quarantine Part 4: The Final Chapter,-0.3528521878079595,-0.14439534212210997,Moderadamente popular
007 Legends,-0.37295422082796426,-1.9351884099104626,Menos popular
007 Racing,-0.2121379566679263,-0.6265319372958974,Menos popular
007: Quantum of Solace,1.1266574424643896,-0.2362308840599739,Moderadamente popular
007: The World is Not Enough,0.19794351694017048,0.26886459659827955,Moderadamente popular
007: The World is not Enough,-0.05534209911188928,-0.41990196793570234,Menos popular
007: Tomorrow Never Dies,0.8653310132043279,-0.5576552808424988,Menos popular
100 Classic Books,-0.155852264211913,-2.072941722817259,Menos popular
18 Wheeler: American Pro Trucker,-0.2201787698759282,-1.0397918760162863,Menos popular
2002 FIFA World Cup,-0.16791348402391584,0.441056237731775,Moderadamente popular
2010 FIFA World Cup South Africa,0.7688412547083051,0.37217958127837647,Moderadamente popular
2014 FIFA World Cup Brazil,0.017025219760127813,0.4066179095050754,Moderadamente popular
2Xtreme,0.1376374178801562,0.8887545046788635,Muy popular
300: March to Glory,-0.2603828359159377,-1.453051814736675,Menos popular
3D Baseball,-0.41315828686797373,0.4066179095050754,Menos popular
3D Lemmings,-0.40109706705597087,-0.006642029215313471,Menos popular
3Xtreme,-0.06338291231989118,-2.830584943804639,Menos popular
40 Winks,-0.3005869019559471,-1.0397918760162863,Menos popular
4X4 EVO 2,-0.36893381422396326,-1.3152985018298793,Menos popular
50 Cent: Blood on the Sand,-0.26440324251993863,0.165549611918182,Moderadamente popular
50 Cent: Bulletproof,-0.38903584724396806,-1.0397918760162863,Menos popular
7 Wonders of the Ancient World,-0.393056253847969,-1.1086685324696843,Menos popular
7th Dragon III Code: VFD,-0.3287297481839538,0.33774125305167746,Moderadamente popular
"999: Nine Hours, Nine Persons, Nine Doors",-0.2764644623319415,0.6132478788652704,Moderadamente popular
A Boy and His Blob,-0.34079096799595665,0.6132478788652704,Moderadamente popular
A Bug's Life,0.9497595518883478,-1.4874901429633747,Menos popular
A Collection of Activision Classic Games for the Atari 2600,0.12557619806815343,-2.2106950357240556,Menos popular
A Collection of Intellivision Classic Games,-0.3005869019559471,-1.8663117534570648,Menos popular
A Game of Thrones: Genesis,-0.41315828686797373,-1.453051814736675,Menos popular
A Sound of Thunder,-0.42521950667997654,-0.14439534212210997,Menos popular
A Way Out,-0.1357502311919083,0.544371222411872,Muy popular
A Witch's Tale,-0.38099503403596613,-1.3841751582832773,Menos popular
A-Train,-0.393056253847969,-0.6954085937492953,Menos popular
A-Train HX,-0.42521950667997654,-3.450474851885223,Menos popular
AC/DC LIVE: Rock Band Track Pack,-0.3327501547879548,-0.2132719985755079,Moderadamente popular
ARK: Survival Evolved,-0.393056253847969,-2.072941722817259,Menos popular
ATV Offroad Fury,0.5436984848842521,0.9576311611322614,Muy popular
ATV Offroad Fury 2,0.4512291329922303,1.1642611304924553,Muy popular
ATV Offroad Fury 3,0.057229285800137246,0.33774125305167746,Moderadamente popular
ATV Offroad Fury Pro,-0.24028080289593295,0.4066179095050754,Moderadamente popular
ATV Offroad Fury: Blazin' Trails,-0.1960563302519225,-0.7642852502026933,Menos popular
ATV: Quad Power Racing,-0.3206889349759519,-1.0397918760162863,Menos popular
Academy of Champions: Soccer,-0.3769746274319652,0.06223462723808447,Menos popular
